"from","to"
"Athlete","BadmintonPlayer"
"Athlete","Gymnast"
"Athlete","Canoeist"
"Athlete","BaseballPlayer"
"Athlete","BasketballPlayer"
"Athlete","TeamMember"
"Athlete","NationalCollegiateAthleticAssociationAthlete"
"Athlete","WinterSportPlayer"
"Athlete","WaterPoloPlayer"
"Athlete","SnookerPlayer"
"Athlete","TennisPlayer"
"Athlete","GolfPlayer"
"Athlete","ChessPlayer"
"Athlete","RugbyPlayer"
"Athlete","NetballPlayer"
"Athlete","Surfer"
"Athlete","TableTennisPlayer"
"Athlete","HorseRider"
"Athlete","Bodybuilder"
"Athlete","HighDiver"
"Athlete","Boxer"
"Athlete","Wrestler"
"Athlete","AthleticsPlayer"
"Athlete","Rower"
"Athlete","Fencer"
"Athlete","HandballPlayer"
"OrganisationMember","SportsTeamMember"
"Artist","Actor"
"Artist","MusicalArtist"
"Artist","Painter"
"Artist","ComicsCreator"
"Artist","Comedian"
"Artist","FashionDesigner"
"Artist","Photographer"
"Artist","Sculptor"
"Artist","Dancer"
"Artist","Humorist"
"Criminal","Murderer"
"SportsManager","SoccerManager"
"Scientist","Medician"
"Scientist","Biologist"
"Scientist","Professor"
"Scientist","Entomologist"
"ComicsCharacter","AnimangaCharacter"
"Group","Band"
"Group","ComedyGroup"
"Non-ProfitOrganisation","RecordOffice"
"SportsClub","RugbyClub"
"SportsClub","HockeyClub"
"SportsClub","SoccerClub"
"Broadcaster","TelevisionStation"
"Broadcaster","BroadcastNetwork"
"Broadcaster","RadioStation"
"SportsLeague","CricketLeague"
"SportsLeague","RugbyLeague"
"SportsLeague","FieldHockeyLeague"
"SportsLeague","AmericanFootballLeague"
"SportsLeague","SoccerLeague"
"SportsLeague","TennisLeague"
"SportsLeague","SpeedwayLeague"
"SportsLeague","CurlingLeague"
"SportsLeague","InlineHockeyLeague"
"SportsLeague","MotorcycleRacingLeague"
"SportsLeague","AustralianFootballLeague"
"SportsLeague","BaseballLeague"
"SportsLeague","BoxingLeague"
"SportsLeague","PaintballLeague"
"SportsLeague","MixedMartialArtsLeague"
"SportsLeague","AutoRacingLeague"
"SportsLeague","GolfLeague"
"SportsLeague","VideogamesLeague"
"SportsLeague","HandballLeague"
"SportsLeague","IceHockeyLeague"
"SportsLeague","SoftballLeague"
"SportsLeague","LacrosseLeague"
"SportsLeague","VolleyballLeague"
"SportsLeague","PoloLeague"
"SportsLeague","CanadianFootballLeague"
"SportsLeague","RadioControlledRacingLeague"
"SportsLeague","FormulaOneRacing"
"SportsLeague","CyclingLeague"
"SportsLeague","BasketballLeague"
"SportsLeague","BowlingLeague"
"SportsTeam","SpeedwayTeam"
"SportsTeam","CanadianFootballTeam"
"SportsTeam","AmericanFootballTeam"
"SportsTeam","AustralianFootballTeam"
"SportsTeam","HandballTeam"
"SportsTeam","FormulaOneTeam"
"SportsTeam","BasketballTeam"
"SportsTeam","HockeyTeam"
"SportsTeam","CricketTeam"
"SportsTeam","CyclingTeam"
"SportsTeam","BaseballTeam"
"ReligiousOrganisation","ClericalOrder"
"GovernmentAgency","GovernmentCabinet"
"EducationalInstitution","Library"
"EducationalInstitution","School"
"EducationalInstitution","College"
"EducationalInstitution","University"
"Company","Brewery"
"Company","Publisher"
"Company","Winery"
"Company","Bank"
"Company","RecordLabel"
"Company","PublicTransitSystem"
"Company","LawFirm"
"Company","Caterer"
"Comic","ComicStrip"
"Comic","Manhua"
"Comic","Manhwa"
"Comic","Manga"
"Annotation","Reference"
"PeriodicalLiterature","Magazine"
"PeriodicalLiterature","Newspaper"
"PeriodicalLiterature","UndergroundJournal"
"PeriodicalLiterature","AcademicJournal"
"Book","Novel"
"Song","EurovisionSongContestEntry"
"Image","StillImage"
"Image","MovingImage"
"Wine","ControlledDesignationOfOriginWine"
"LegalCase","SupremeCourtOfTheUnitedStatesCase"
"SportsEvent","GrandPrix"
"SportsEvent","MixedMartialArtsEvent"
"SportsEvent","Tournament"
"SportsEvent","WrestlingEvent"
"SportsEvent","NationalFootballLeagueEvent"
"SportsEvent","FootballMatch"
"SportsEvent","Olympics"
"SportsEvent","CyclingCompetition"
"SportsEvent","Race"
"SportsEvent","InternationalFootballLeagueEvent"
"FootballLeagueSeason","NationalFootballLeagueSeason"
"Mammal","Horse"
"Mammal","Dog"
"Mammal","Cat"
"FloweringPlant","Grape"
"Stream","Canal"
"Stream","River"
"City","CapitalOfRegion"
"City","Capital"
"AdministrativeRegion","ClericalAdministrativeRegion"
"AdministrativeRegion","HistoricalAreaOfAuthority"
"AdministrativeRegion","GovernmentalAdministrativeRegion"
"ReligiousBuilding","Temple"
"ReligiousBuilding","Shrine"
"ReligiousBuilding","Monastery"
"ReligiousBuilding","Church"
"ReligiousBuilding","Synagogue"
"ReligiousBuilding","Mosque"
"Venue","Stadium"
"Venue","Cinema"
"Venue","Theatre"
"RaceTrack","Racecourse"
"SkiArea","SkiResort"
"Station","RailwayStation"
"Station","MetroStation"
"Station","TramStation"
"Station","RouteStop"
"RouteOfTransportation","RoadJunction"
"RouteOfTransportation","Bridge"
"RouteOfTransportation","RailwayTunnel"
"RouteOfTransportation","RailwayLine"
"RouteOfTransportation","Road"
"RouteOfTransportation","WaterwayTunnel"
"RouteOfTransportation","RoadTunnel"
"PowerStation","NuclearPowerStation"
"BritishRoyalty","Baronet"
