Progress:   0.5% words/sec/thread:  890192 lr: 0.0845687 loss:    2.1985 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  890146 lr: 0.0845663 loss:   2.19621 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  890075 lr:  0.084564 loss:   2.19549 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  890011 lr: 0.0845616 loss:   2.19435 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  890286 lr: 0.0845591 loss:   2.19621 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  890556 lr: 0.0845566 loss:   2.19512 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  890330 lr: 0.0845543 loss:   2.19079 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889920 lr: 0.0845522 loss:   2.18658 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889834 lr: 0.0845498 loss:   2.18816 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889775 lr: 0.0845475 loss:   2.18807 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889416 lr: 0.0845453 loss:   2.18547 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889319 lr:  0.084543 loss:   2.18396 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889275 lr: 0.0845406 loss:   2.18217 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889212 lr: 0.0845383 loss:    2.1796 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889373 lr: 0.0845358 loss:    2.1762 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889326 lr: 0.0845334 loss:   2.17197 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889154 lr: 0.0845312 loss:    2.1638 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889367 lr: 0.0845287 loss:   2.15779 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889355 lr: 0.0845263 loss:   2.14731 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889547 lr: 0.0845239 loss:   2.14576 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889677 lr: 0.0845214 loss:    2.1431 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889779 lr:  0.084519 loss:   2.13834 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889685 lr: 0.0845166 loss:   2.12801 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889676 lr: 0.0845143 loss:   2.13232 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889681 lr: 0.0845119 loss:   2.12825 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889282 lr: 0.0845097 loss:   2.12983 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889383 lr: 0.0845073 loss:    2.1221 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889313 lr:  0.084505 loss:   2.12251 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889383 lr: 0.0845026 loss:   2.12306 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889190 lr: 0.0845003 loss:   2.11949 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889158 lr: 0.0844979 loss:   2.11677 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889255 lr: 0.0844955 loss:   2.11527 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889182 lr: 0.0844932 loss:   2.11139 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  888918 lr:  0.084491 loss:   2.10913 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  888910 lr: 0.0844886 loss:   2.10621 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889045 lr: 0.0844861 loss:    2.1064 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889255 lr: 0.0844836 loss:   2.10333 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889495 lr: 0.0844811 loss:   2.10207 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889826 lr: 0.0844786 loss:   2.09779 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889795 lr: 0.0844762 loss:   2.09037 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889895 lr: 0.0844738 loss:   2.08204 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890155 lr: 0.0844712 loss:   2.07914 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890251 lr: 0.0844688 loss:    2.0803 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890243 lr: 0.0844664 loss:    2.0816 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890371 lr:  0.084464 loss:   2.08096 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890112 lr: 0.0844618 loss:   2.08203 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889773 lr: 0.0844596 loss:   2.07716 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889863 lr: 0.0844572 loss:   2.06799 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889882 lr: 0.0844548 loss:   2.06641 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890042 lr: 0.0844523 loss:   2.05886 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  889985 lr:   0.08445 loss:   2.04706 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890187 lr: 0.0844475 loss:   2.04444 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890352 lr:  0.084445 loss:   2.04384 ETA:   0h 3m
Progress:   0.6% words/sec/thread:  890589 lr: 0.0844425 loss:   2.04407 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890679 lr:   0.08444 loss:   2.04436 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890584 lr: 0.0844377 loss:   2.04261 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890653 lr: 0.0844353 loss:    2.0371 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890757 lr: 0.0844329 loss:   2.03536 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890760 lr: 0.0844305 loss:   2.03462 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890696 lr: 0.0844281 loss:   2.03129 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890662 lr: 0.0844258 loss:   2.02626 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890761 lr: 0.0844233 loss:   2.01832 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890699 lr:  0.084421 loss:   2.01644 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890703 lr: 0.0844186 loss:   2.01113 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890669 lr: 0.0844163 loss:   2.00694 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890701 lr: 0.0844139 loss:   2.00572 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890703 lr: 0.0844115 loss:   2.01099 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890742 lr: 0.0844091 loss:   2.00854 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890684 lr: 0.0844067 loss:   2.00886 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890340 lr: 0.0844046 loss:   2.00831 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890350 lr: 0.0844022 loss:   2.00686 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890248 lr: 0.0843999 loss:   2.00577 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  890093 lr: 0.0843976 loss:   2.00439 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889842 lr: 0.0843954 loss:   2.00269 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889859 lr:  0.084393 loss:   2.00031 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889774 lr: 0.0843907 loss:   1.99835 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889742 lr: 0.0843884 loss:   1.99845 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889795 lr:  0.084386 loss:   1.99639 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889745 lr: 0.0843836 loss:   1.99409 ETA:   0h 3m
